epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8585,1.47473,3.87017,1.0453,0.00023,0.01082,0.00012,3e-05,1.07623,4.08953,0.85955,0.00028886,0.00028886,0.00028886
2,17.0947,1.33897,2.41834,0.9573,0.00144,0.03239,0.0068,0.00474,1.02962,3.7342,0.85149,0.000577171,0.000577171,0.000577171
3,21.7707,1.23348,2.01631,0.94179,0.01106,0.95389,0.59291,0.42257,1.08608,2.6185,0.86515,0.000853604,0.000853604,0.000853604
4,26.5761,1.15808,1.7238,0.92722,0.95624,0.15664,0.51744,0.37308,1.09288,1.8899,0.86996,0.00104501,0.00104501,0.00104501
5,31.1172,1.1839,1.61453,0.93442,0.49238,0.73279,0.70009,0.52729,1.14426,1.56465,0.87699,0.00102301,0.00102301,0.00102301
6,35.7422,1.15728,1.51067,0.92449,0.66723,0.84013,0.86053,0.63622,1.04437,1.14955,0.86166,0.00100101,0.00100101,0.00100101
7,40.2912,1.143,1.46954,0.93245,0.72327,0.7964,0.83018,0.63311,0.98111,1.11724,0.86004,0.000979013,0.000979013,0.000979013
8,44.8945,1.08224,1.35797,0.90853,0.83138,0.84977,0.90987,0.67869,1.02034,0.94089,0.8652,0.000957015,0.000957015,0.000957015
9,49.5014,1.0885,1.27602,0.92263,0.73353,0.70778,0.82663,0.67133,0.96716,0.87802,0.86095,0.000935018,0.000935018,0.000935018
10,54.0883,1.09596,1.25366,0.9024,0.68432,0.85849,0.86754,0.67373,0.90147,0.95862,0.85262,0.00091302,0.00091302,0.00091302
11,58.6604,1.01369,1.15395,0.89868,0.76393,0.87417,0.92592,0.7315,0.89358,0.76735,0.85159,0.000891022,0.000891022,0.000891022
12,63.3162,1.04672,1.12179,0.90097,0.91125,0.83916,0.92674,0.72405,0.91889,0.72866,0.84234,0.000869024,0.000869024,0.000869024
13,67.8306,0.96051,1.05402,0.89583,0.91639,0.81317,0.92681,0.75957,0.94958,0.73824,0.85989,0.000847026,0.000847026,0.000847026
14,72.4723,1.04619,1.10505,0.91278,0.90752,0.83319,0.92144,0.76388,0.85628,0.68881,0.83337,0.000825029,0.000825029,0.000825029
15,77.1325,0.97031,0.98906,0.88021,0.90705,0.85302,0.93992,0.80546,0.87937,0.67542,0.84069,0.000803031,0.000803031,0.000803031
16,81.7329,1.00685,0.99802,0.90076,0.93869,0.90876,0.94956,0.77467,0.90829,0.69444,0.84663,0.000781033,0.000781033,0.000781033
17,86.3498,0.96181,0.95179,0.88771,0.91106,0.87875,0.94198,0.77538,0.82696,0.63566,0.83322,0.000759035,0.000759035,0.000759035
18,90.9394,0.92785,0.89754,0.87447,0.9244,0.86203,0.94377,0.77039,0.87022,0.62523,0.84665,0.000737037,0.000737037,0.000737037
19,95.5207,0.94762,0.92269,0.87712,0.88716,0.895,0.95295,0.81492,0.81855,0.57787,0.83318,0.00071504,0.00071504,0.00071504
20,100.407,0.93892,0.85375,0.87064,0.91727,0.89039,0.95542,0.82721,0.81,0.57625,0.82851,0.000693042,0.000693042,0.000693042
21,104.983,0.90404,0.84283,0.86886,0.94283,0.89726,0.95641,0.80929,0.84006,0.64713,0.83385,0.000671044,0.000671044,0.000671044
22,109.637,0.9161,0.87979,0.89082,0.92864,0.87924,0.9465,0.78737,0.87474,0.64275,0.83705,0.000649046,0.000649046,0.000649046
23,114.297,0.9235,0.82028,0.87937,0.95204,0.88657,0.95361,0.83549,0.76497,0.53025,0.82466,0.000627048,0.000627048,0.000627048
24,118.95,0.93733,0.8548,0.87164,0.87716,0.86113,0.92079,0.75063,0.80578,0.63735,0.82769,0.000605051,0.000605051,0.000605051
25,123.615,0.86666,0.77326,0.86886,0.94186,0.89401,0.94249,0.8041,0.82121,0.62322,0.8293,0.000583053,0.000583053,0.000583053
26,128.233,0.88293,0.78925,0.86985,0.87694,0.9387,0.94688,0.82151,0.78395,0.555,0.82406,0.000561055,0.000561055,0.000561055
27,132.819,0.87087,0.76011,0.87324,0.8799,0.85636,0.94128,0.82717,0.78018,0.57483,0.82283,0.000539057,0.000539057,0.000539057
28,137.417,0.89322,0.76102,0.86565,0.9572,0.9345,0.96145,0.8332,0.79128,0.51348,0.82661,0.000517059,0.000517059,0.000517059
29,142.019,0.89258,0.761,0.88331,0.95725,0.94244,0.95762,0.80911,0.83289,0.5319,0.83144,0.000495062,0.000495062,0.000495062
30,146.574,0.87925,0.74967,0.87852,0.959,0.93413,0.95911,0.80573,0.78425,0.53397,0.82571,0.000473064,0.000473064,0.000473064
31,151.253,0.82636,0.73174,0.85795,0.93858,0.90098,0.96251,0.79104,0.81953,0.51093,0.82644,0.000451066,0.000451066,0.000451066
32,155.816,0.85257,0.71638,0.85843,0.96084,0.94708,0.96322,0.84369,0.75291,0.47062,0.81986,0.000429068,0.000429068,0.000429068
33,160.365,0.82717,0.70055,0.8608,0.91875,0.95455,0.9642,0.83821,0.76289,0.51631,0.82162,0.00040707,0.00040707,0.00040707
34,165.041,0.86654,0.71404,0.86183,0.92561,0.88475,0.94022,0.79128,0.85574,0.79278,0.83309,0.000385073,0.000385073,0.000385073
35,169.809,0.83111,0.68986,0.86316,0.93802,0.91865,0.96246,0.82745,0.78162,0.5297,0.8272,0.000363075,0.000363075,0.000363075
36,174.35,0.77668,0.66322,0.85144,0.95822,0.92645,0.9607,0.83865,0.79263,0.47418,0.82728,0.000341077,0.000341077,0.000341077
37,178.968,0.8185,0.66517,0.85569,0.92445,0.94253,0.95882,0.80974,0.76925,0.45894,0.82072,0.000319079,0.000319079,0.000319079
38,183.543,0.80234,0.67497,0.86099,0.95173,0.952,0.96412,0.83402,0.76138,0.43497,0.81987,0.000297081,0.000297081,0.000297081
39,188.141,0.81043,0.64895,0.84689,0.96353,0.942,0.96531,0.83632,0.75856,0.44213,0.82101,0.000275084,0.000275084,0.000275084
40,192.794,0.79648,0.63892,0.85233,0.96056,0.94038,0.96556,0.82558,0.76992,0.43248,0.81944,0.000253086,0.000253086,0.000253086
41,199.237,0.79048,0.68763,0.85782,0.90216,0.94143,0.9628,0.81294,0.76378,0.47861,0.82043,0.000231088,0.000231088,0.000231088
42,203.886,0.75402,0.62908,0.85188,0.95974,0.96014,0.96333,0.83738,0.76871,0.44084,0.81795,0.00020909,0.00020909,0.00020909
43,208.413,0.76377,0.62609,0.85069,0.95822,0.93804,0.9633,0.82432,0.77266,0.44072,0.81828,0.000187092,0.000187092,0.000187092
44,212.973,0.75668,0.60429,0.84295,0.95294,0.94064,0.96323,0.84794,0.74465,0.44429,0.81384,0.000165095,0.000165095,0.000165095
45,217.554,0.74537,0.62141,0.85313,0.95106,0.93149,0.9631,0.83616,0.77409,0.44238,0.819,0.000143097,0.000143097,0.000143097
46,222.148,0.72542,0.58715,0.84728,0.95402,0.93417,0.96318,0.83161,0.78025,0.4433,0.82104,0.000121099,0.000121099,0.000121099
47,227.054,0.72876,0.58856,0.83909,0.9626,0.9454,0.9634,0.83426,0.80175,0.41562,0.82075,9.91012e-05,9.91012e-05,9.91012e-05
48,231.693,0.71904,0.58508,0.84208,0.95835,0.94921,0.96349,0.82401,0.78123,0.41346,0.81833,7.71034e-05,7.71034e-05,7.71034e-05
49,236.555,0.6944,0.55842,0.83564,0.96002,0.94933,0.96327,0.84244,0.77937,0.41711,0.81914,5.51056e-05,5.51056e-05,5.51056e-05
50,241.181,0.7164,0.57398,0.83457,0.96085,0.94828,0.96327,0.83772,0.77376,0.41821,0.81825,3.31078e-05,3.31078e-05,3.31078e-05
